,complex,putative_genes,coeffs,monomer_id,gene,obj_ids
41,"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",aroH,2,AROH-MONOMER,aroH,AROH-MONOMER
42,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",aroF,2,AROF-MONOMER,aroF,AROF-MONOMER
43,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC,kdsC,4,G7663-MONOMER,kdsC,G7663-MONOMER
44,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,kdsA,4,KDO-8PSYNTH-MONOMER,kdsA,KDO-8PSYNTH-MONOMER
45,3-hydroxy acid dehydrogenase,ydfG,4,EG12345-MONOMER,ydfG,EG12345-MONOMER
46,"3-hydroxy-2,4-pentadione 5-phosphate thiolase",lsrF,1,G6804-MONOMER,lsrF,G6804-MONOMER
47,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,fabZ,6,FABZ-MONOMER,fabZ,FABZ-MONOMER
48,3-isopropylmalate dehydratase,"leuD"" // ""leuC",1,LEUD-MONOMER,leuD,LEUD-MONOMER
49,3-isopropylmalate dehydratase,"leuD"" // ""leuC",1,LEUC-MONOMER,leuC,LEUC-MONOMER
50,3-isopropylmalate dehydrogenase,leuB,2,3-ISOPROPYLMALDEHYDROG-MONOMER,leuB,3-ISOPROPYLMALDEHYDROG-MONOMER
51,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,ulaD,2,G7858-MONOMER,ulaD,G7858-MONOMER
52,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,1,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,panB,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER
53,3-octaprenyl-4-hydroxybenzoate decarboxylase,ubiD,6,EG11396-MONOMER,ubiD,EG11396-MONOMER
54,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,4,3-OXOACYL-ACP-REDUCT-MONOMER,fabG,3-OXOACYL-ACP-REDUCT-MONOMER
55,3-sulfolactaldehyde reductase,yihU,4,EG11847-MONOMER,yihU,EG11847-MONOMER
56,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,ispE,2,EG11294-MONOMER,ispE,EG11294-MONOMER
57,"aminodeoxychorismate synthase subunit 1"" // ""aminodeoxychorismate synthase subunit 2","pabA"" // ""pabB",1,PABASYN-COMPII-MONOMER,pabA,PABASYN-COMPII-MONOMER
58,"aminodeoxychorismate synthase subunit 1"" // ""aminodeoxychorismate synthase subunit 2","pabA"" // ""pabB",1,PABASYN-COMPI-MONOMER,pabB,PABASYN-COMPI-MONOMER
59,4-aminobutyrate aminotransferase GabT,gabT,2,GABATRANSAM-MONOMER,gabT,GABATRANSAM-MONOMER
60,4-diphosphocytidyl-2C-methyl-D-erythritol synthase,ispD,2,G7423-MONOMER,ispD,G7423-MONOMER
61,4-hydroxy-tetrahydrodipicolinate reductase,dapB,4,DIHYDROPICRED-MONOMER,dapB,DIHYDROPICRED-MONOMER
62,4-hydroxy-tetrahydrodipicolinate synthase,dapA,4,DIHYDRODIPICSYN-MONOMER,dapA,DIHYDRODIPICSYN-MONOMER
63,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,2,PDXA-MONOMER,pdxA,PDXA-MONOMER
64,5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase,mtn,2,EG11090-MONOMER,mtn,EG11090-MONOMER
65,"5,10-methylenetetrahydrofolate reductase",metF,4,METHYLENETHFREDUCT-MONOMER,metF,METHYLENETHFREDUCT-MONOMER
66,5-(carboxyamino)imidazole ribonucleotide synthase,purK,2,PURK-MONOMER,purK,PURK-MONOMER
67,5-carboxymethylaminomethyluridine-tRNA syntase subunit MnmG,mnmG,2,EG10375-MONOMER,mnmG,EG10375-MONOMER
68,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,mnmE,2,EG10997-MONOMER,mnmE,EG10997-MONOMER
69,5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase,kduI,6,G7463-MONOMER,kduI,G7463-MONOMER
70,5-oxoprolinase,"pxpA"" // ""pxpB"" // ""pxpC",1,G6382-MONOMER,pxpA,G6382-MONOMER
71,5-oxoprolinase,"pxpA"" // ""pxpB"" // ""pxpC",1,G6380-MONOMER,pxpB,G6380-MONOMER
72,5-oxoprolinase,"pxpA"" // ""pxpB"" // ""pxpC",1,G6381-MONOMER,pxpC,G6381-MONOMER
73,"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",phnP,2,EG10725-MONOMER,phnP,EG10725-MONOMER
74,50S ribosomal protein complex L8,"rplL"" // ""rplJ",2,CPLX0-3955,,CPLX0-3955
75,50S ribosomal protein complex L8,"rplL"" // ""rplJ",4,EG10873-MONOMER,rplL,EG10873-MONOMER
76,50S ribosomal protein complex L8,"rplL"" // ""rplJ",1,EG10871-MONOMER,rplJ,EG10871-MONOMER
77,"6,7-dimethyl-8-ribityllumazine synthase",ribE,6,LUMAZINESYN-MONOMER,ribE,LUMAZINESYN-MONOMER
78,"6-carboxy-5,6,7,8-tetrahydropterin synthase",queD,6,G7431-MONOMER,queD,G7431-MONOMER
79,6-phosphofructokinase I,pfkA,4,6PFK-1-MONOMER,pfkA,6PFK-1-MONOMER
80,6-phosphofructokinase II,pfkB,2,6PFK-2-MONOMER,pfkB,6PFK-2-MONOMER
81,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,2,6PGLUCONDEHYDROG-MONOMER,gnd,6PGLUCONDEHYDROG-MONOMER
82,7-&alpha;-hydroxysteroid dehydrogenase,hdhA,4,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER,hdhA,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER
83,7-cyano-7-deazaguanine reductase,queF,2,G7452-MONOMER,queF,G7452-MONOMER
84,8-amino-7-oxononanoate synthase,bioF,2,7KAPSYN-MONOMER,bioF,7KAPSYN-MONOMER
85,acetate / glycolate : cation symporter,actP,2,YJCG-MONOMER,actP,YJCG-MONOMER
86,"acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene)"" // ""acetolactate synthase II subunit IlvM","ilvM"" // ""ilvG_1",1,SMALLILVM-MONOMER,ilvM,SMALLILVM-MONOMER
87,"acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene)"" // ""acetolactate synthase II subunit IlvM","ilvM"" // ""ilvG_1",1,G8221-MONOMER,ilvG_1,G8221-MONOMER
88,"acetohydroxy acid synthase I subunit IlvB"" // ""acetohydroxy acid synthase I subunit IlvN","ilvN"" // ""ilvB",2,SMALLILVN-MONOMER,ilvN,SMALLILVN-MONOMER
89,"acetohydroxy acid synthase I subunit IlvB"" // ""acetohydroxy acid synthase I subunit IlvN","ilvN"" // ""ilvB",2,LARGEILVB-MONOMER,ilvB,LARGEILVB-MONOMER
90,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit"" // ""acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit","ilvH"" // ""ilvI",2,ACETOLACTSYNIII-HCHAIN-MONOMER,ilvH,ACETOLACTSYNIII-HCHAIN-MONOMER
91,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit"" // ""acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit","ilvH"" // ""ilvI",2,ACETOLACTSYNIII-ICHAIN-MONOMER,ilvI,ACETOLACTSYNIII-ICHAIN-MONOMER
92,acetyl-CoA acetyltransferase,atoB,4,ACETYL-COA-ACETYLTRANSFER-MONOMER,atoB,ACETYL-COA-ACETYLTRANSFER-MONOMER
93,"acetyl-CoA carboxyltransferase subunit &alpha;"" // ""acetyl-CoA carboxyltransferase subunit &beta;","accD"" // ""accA",2,CARBOXYL-TRANSFERASE-BETA-MONOMER,accD,CARBOXYL-TRANSFERASE-BETA-MONOMER
94,"acetyl-CoA carboxyltransferase subunit &alpha;"" // ""acetyl-CoA carboxyltransferase subunit &beta;","accD"" // ""accA",2,CARBOXYL-TRANSFERASE-ALPHA-MONOMER,accA,CARBOXYL-TRANSFERASE-ALPHA-MONOMER
95,acetyl-CoA:oxalate CoA-transferase,yfdE,2,G7234-MONOMER,yfdE,G7234-MONOMER
96,acetylesterase,aes,2,EG11101-MONOMER,aes,EG11101-MONOMER
97,acetylglutamate kinase,argB,2,ACETYLGLUTKIN-MONOMER,argB,ACETYLGLUTKIN-MONOMER
98,acetylornithine deacetylase,argE,2,ACETYLORNDEACET-MONOMER,argE,ACETYLORNDEACET-MONOMER
99,acid phosphatase / phosphotransferase,aphA,4,APHA-MONOMER,aphA,APHA-MONOMER
100,aconitate hydratase A,acnA,2,ACONITASE-MONOMER,acnA,ACONITASE-MONOMER
101,acrylyl-CoA reductase,yhdH,2,EG11315-MONOMER,yhdH,EG11315-MONOMER
102,activated pyruvate-formate lyase,pflB,2,PYRUVFORMLY-MONOMER,pflB,PYRUVFORMLY-MONOMER
103,acyl-CoA thioesterase II,tesB,4,THIOESTERII-MONOMER,tesB,THIOESTERII-MONOMER
104,adenine deaminase,adeD,2,EG11692-MONOMER,adeD,EG11692-MONOMER
105,adenine phosphoribosyltransferase,apt,2,ADENPRIBOSYLTRAN-MONOMER,apt,ADENPRIBOSYLTRAN-MONOMER
106,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,bioA,2,DAPASYN-MONOMER,bioA,DAPASYN-MONOMER
107,adenylosuccinate lyase,purB,4,ASL-MONOMER,purB,ASL-MONOMER
108,adenylosuccinate synthetase,purA,2,ADENYLOSUCCINATE-SYN-MONOMER,purA,ADENYLOSUCCINATE-SYN-MONOMER
109,adenylyl-sulfate kinase,cysC,2,ADENYLYLSULFKIN-MONOMER,cysC,ADENYLYLSULFKIN-MONOMER
110,ADP-L-glycero-D-mannoheptose 6-epimerase,rfaD,5,EG10838-MONOMER,rfaD,EG10838-MONOMER
111,ADP-sugar diphosphatase NudE,nudE,2,G7740-MONOMER,nudE,G7740-MONOMER
112,ADP-sugar pyrophosphatase,nudF,2,EG12633-MONOMER,nudF,EG12633-MONOMER
113,aerobic glycerol 3-phosphate dehydrogenase,glpD,2,AERGLYC3PDEHYDROG-MONOMER,glpD,AERGLYC3PDEHYDROG-MONOMER
114,agmatinase,speB,2,AGMATIN-MONOMER,speB,AGMATIN-MONOMER
115,"alanine racemase 1, PLP-binding, biosynthetic",alr,2,ALARACEBIOSYN-MONOMER,alr,ALARACEBIOSYN-MONOMER
116,alanine racemase 2,dadX,2,ALARACECAT-MONOMER,dadX,ALARACECAT-MONOMER
117,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,alaS,2,ALAS-MONOMER,alaS,ALAS-MONOMER
118,"aldehyde dehydrogenase, Fe-S subunit"" // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase: molybdenum cofactor-binding subunit","paoC"" // ""paoB"" // ""paoA",1,G6155-MONOMER,paoC,G6155-MONOMER
119,"aldehyde dehydrogenase, Fe-S subunit"" // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase: molybdenum cofactor-binding subunit","paoC"" // ""paoB"" // ""paoA",1,G6156-MONOMER,paoB,G6156-MONOMER
120,"aldehyde dehydrogenase, Fe-S subunit"" // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase: molybdenum cofactor-binding subunit","paoC"" // ""paoB"" // ""paoA",1,G6157-MONOMER,paoA,G6157-MONOMER
121,"aldehyde dehydrogenase A, NAD-linked",aldA,4,LACTALDDEHYDROG-MONOMER,aldA,LACTALDDEHYDROG-MONOMER
122,aldehyde dehydrogenase B,aldB,4,ALDDEHYDROGB-MONOMER,aldB,ALDDEHYDROGB-MONOMER
123,aldehyde-alcohol dehydrogenase,adhE,4,ADHE-MONOMER,adhE,ADHE-MONOMER
124,aliphatic sulfonate ABC transporter,"ssuB"" // ""ssuC"" // ""ssuA",2,YCBE-MONOMER,ssuB,YCBE-MONOMER
125,aliphatic sulfonate ABC transporter,"ssuB"" // ""ssuC"" // ""ssuA",2,YCBM-MONOMER,ssuC,YCBM-MONOMER
126,aliphatic sulfonate ABC transporter,"ssuB"" // ""ssuC"" // ""ssuA",1,G6478-MONOMER,ssuA,G6478-MONOMER
127,alkaline phosphatase,phoA,2,ALKAPHOSPHA-MONOMER,phoA,ALKAPHOSPHA-MONOMER
128,alkyl hydroperoxide reductase,"ahpF"" // ""ahpC",2,EG11385-MONOMER,ahpF,EG11385-MONOMER
129,alkyl hydroperoxide reductase,"ahpF"" // ""ahpC",1,EG11384-MONOMER,ahpC,EG11384-MONOMER
130,<i>all-trans</i>-octaprenyl-diphosphate synthase,ispB,2,OPPSYN-MONOMER,ispB,OPPSYN-MONOMER
131,allantoate amidohydrolase,allC,2,G6285-MONOMER,allC,G6285-MONOMER
132,allantoinase,allB,4,G6281-MONOMER,allB,G6281-MONOMER
133,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,rpiB,2,RIB5PISOMB-MONOMER,rpiB,RIB5PISOMB-MONOMER
134,&alpha; complex,atoD,2,ATOD-MONOMER,atoD,ATOD-MONOMER
135,&alpha;-D-xyloside xylohydrolase,yicI,6,EG11685-MONOMER,yicI,EG11685-MONOMER
136,&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,garL,6,KDGALDOL-MONOMER,garL,KDGALDOL-MONOMER
137,&alpha;-galactosidase,melA,2,ALPHAGALACTOSID-MONOMER,melA,ALPHAGALACTOSID-MONOMER
138,amidophosphoribosyltransferase,purF,4,PRPPAMIDOTRANS-MONOMER,purF,PRPPAMIDOTRANS-MONOMER
139,amino acid racemase,ygeA,2,EG11157-MONOMER,ygeA,EG11157-MONOMER
140,aminodeoxychorismate lyase,pabC,2,ADCLY-MONOMER,pabC,ADCLY-MONOMER
141,aminopeptidase A/I and DNA-binding transcriptional repressor,pepA,6,EG10694-MONOMER,pepA,EG10694-MONOMER
142,aminopeptidase B,pepB,6,EG12310-MONOMER,pepB,EG12310-MONOMER
143,ammonia / ammonium transporter,amtB,3,AMTB-MONOMER,amtB,AMTB-MONOMER
144,AMP nucleosidase,amn,6,AMP-NUCLEOSID-MONOMER,amn,AMP-NUCLEOSID-MONOMER
145,anaerobic fatty acid &beta;-oxidation complex,"fadJ"" // ""fadI",1,G7212-MONOMER,fadJ,G7212-MONOMER
146,anaerobic fatty acid &beta;-oxidation complex,"fadJ"" // ""fadI",1,G7213-MONOMER,fadI,G7213-MONOMER
147,anaerobic glycerol-3-phosphate dehydrogenase,"glpC"" // ""glpB"" // ""glpA",1,ANGLYC3PDEHYDROGSUBUNITC-MONOMER,glpC,ANGLYC3PDEHYDROGSUBUNITC-MONOMER
148,anaerobic glycerol-3-phosphate dehydrogenase,"glpC"" // ""glpB"" // ""glpA",1,ANGLYC3PDEHYDROGSUBUNITB-MONOMER,glpB,ANGLYC3PDEHYDROGSUBUNITB-MONOMER
149,anaerobic glycerol-3-phosphate dehydrogenase,"glpC"" // ""glpB"" // ""glpA",1,ANGLYC3PDEHYDROGSUBUNITA-MONOMER,glpA,ANGLYC3PDEHYDROGSUBUNITA-MONOMER
150,anaerobic ribonucleoside-triphosphate reductase,nrdD,2,RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER,nrdD,RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER
151,anaerobic ribonucleoside-triphosphate reductase activating protein,nrdG,2,RNTRACTIV-MONOMER,nrdG,RNTRACTIV-MONOMER
152,"anthranilate synthase subunit TrpE"" // ""anthranilate synthase subunit TrpD","trpD"" // ""trpE",2,ANTHRANSYNCOMPII-MONOMER,trpD,ANTHRANSYNCOMPII-MONOMER
153,"anthranilate synthase subunit TrpE"" // ""anthranilate synthase subunit TrpD","trpD"" // ""trpE",2,ANTHRANSYNCOMPI-MONOMER,trpE,ANTHRANSYNCOMPI-MONOMER
154,anti-sigma factor stabilizing protein RseB,rseB,2,G7348-MONOMER,rseB,G7348-MONOMER
155,antitoxin/DNA-binding transcriptional repressor YefM,yefM,2,EG12844-MONOMER,yefM,EG12844-MONOMER
156,arabinose ABC transporter,"araF"" // ""araH"" // ""araG",1,ARAF-MONOMER,araF,ARAF-MONOMER
157,arabinose ABC transporter,"araF"" // ""araH"" // ""araG",2,ARAH-MONOMER,araH,ARAH-MONOMER
158,arabinose ABC transporter,"araF"" // ""araH"" // ""araG",2,ARAG-MONOMER,araG,ARAG-MONOMER
159,AraC DNA-binding transcriptional dual regulator,araC,2,PD00242,araC,PD00242
160,"arginine decarboxylase, biosynthetic",speA,4,ARGDECARBOXBIO-MONOMER,speA,ARGDECARBOXBIO-MONOMER
161,"arginine decarboxylase, degradative",adiA,1,ARGDECARBOXDEG-MONOMER,adiA,ARGDECARBOXDEG-MONOMER
162,arginine:agmatine antiporter,adiC,2,YJDE-MONOMER,adiC,YJDE-MONOMER
163,argininosuccinate synthetase,argG,4,ARGSUCCINSYN-MONOMER,argG,ARGSUCCINSYN-MONOMER
164,aromatic carboxylic acid efflux pump,"aaeB"" // ""aaeA",1,G7685-MONOMER,aaeB,G7685-MONOMER
165,aromatic carboxylic acid efflux pump,"aaeB"" // ""aaeA",1,G7686-MONOMER,aaeA,G7686-MONOMER
166,arsenite/antimonite:H<sup>+</sup> antiporter,arsB,2,ARSF-MONOMER,arsB,ARSF-MONOMER
167,arylamine <i>N</i>-acetyltransferase,nhoA,2,G6770-MONOMER,nhoA,G6770-MONOMER
168,asparaginase II,ansB,4,ANSB-MONOMER,ansB,ANSB-MONOMER
169,asparagine synthetase A,asnA,2,ASNSYNA-MONOMER,asnA,ASNSYNA-MONOMER
170,asparagine synthetase B,asnB,2,ASNSYNB-MONOMER,asnB,ASNSYNB-MONOMER
171,asparagine&mdash;tRNA ligase,asnS,2,ASNS-MONOMER,asnS,ASNS-MONOMER
172,aspartate aminotransferase,aspC,2,ASPAMINOTRANS-MONOMER,aspC,ASPAMINOTRANS-MONOMER
173,aspartate ammonia-lyase,aspA,4,ASPARTASE-MONOMER,aspA,ASPARTASE-MONOMER
174,aspartate carbamoyltransferase catalytic subunit,pyrB,3,ASPCARBCAT-MONOMER,pyrB,ASPCARBCAT-MONOMER
175,"aspartate carbamoyltransferase, regulatory subunit",pyrI,2,ASPCARBREG-MONOMER,pyrI,ASPCARBREG-MONOMER
176,aspartate kinase III,lysC,2,ASPKINIII-MONOMER,lysC,ASPKINIII-MONOMER
177,aspartate&mdash;tRNA ligase,aspS,2,ASPS-MONOMER,aspS,ASPS-MONOMER
178,aspartate-semialdehyde dehydrogenase,asd,2,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,asd,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER
179,ATP dependent structure specific DNA nuclease,"sbcD"" // ""sbcC",1,EG11094-MONOMER,sbcD,EG11094-MONOMER
180,ATP dependent structure specific DNA nuclease,"sbcD"" // ""sbcC",1,EG10927-MONOMER,sbcC,EG10927-MONOMER
181,ATP phosphoribosyltransferase,hisG,2,ATPPHOSRIBOSTRANS-MONOMER,hisG,ATPPHOSRIBOSTRANS-MONOMER
182,ATP synthase F<sub>1</sub> complex subunit &alpha;,atpA,3,,,ATPA-MONOMER
183,ATP synthase F<sub>1</sub> complex subunit &beta;,atpD,3,ATPD-MONOMER,atpD,ATPD-MONOMER
184,ATP synthase F<sub>o</sub> complex - subunit b,atpF,2,ATPF-MONOMER,atpF,ATPF-MONOMER
185,ATP synthase F<sub>o</sub> complex - subunit c,atpE,1,ATPE-MONOMER,atpE,ATPE-MONOMER
186,ATP-dependent DNA helicase Rep,rep,2,EG10837-MONOMER,rep,EG10837-MONOMER
187,ATP-dependent Lipid A-core flippase,msbA,2,EG10613-MONOMER,msbA,EG10613-MONOMER
188,ATP-independent periplasmic chaperone,spy,2,G6939-MONOMER,spy,G6939-MONOMER
189,"Autoinducer-2 ABC transporter periplasmic binding protein"" // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit","lsrA"" // ""lsrC"" // ""lsrD"" // ""lsrB",2,YDEX-MONOMER,lsrA,YDEX-MONOMER
190,"Autoinducer-2 ABC transporter periplasmic binding protein"" // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit","lsrA"" // ""lsrC"" // ""lsrD"" // ""lsrB",1,YDEY-MONOMER,lsrC,YDEY-MONOMER
191,"Autoinducer-2 ABC transporter periplasmic binding protein"" // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit","lsrA"" // ""lsrC"" // ""lsrD"" // ""lsrB",1,YDEZ-MONOMER,lsrD,YDEZ-MONOMER
192,"Autoinducer-2 ABC transporter periplasmic binding protein"" // ""Autoinducer-2 ABC transporter membrane subunit LsrD"" // ""Autoinducer-2 ABC transporter membrane subunit LsrC"" // ""Autoinducer-2 ABC transporter ATP binding subunit","lsrA"" // ""lsrC"" // ""lsrD"" // ""lsrB",1,YNEA-MONOMER,lsrB,YNEA-MONOMER
193,bacterioferritin,bfr,2,EG10113-MONOMER,bfr,EG10113-MONOMER
194,&beta; complex,atoA,2,ATOA-MONOMER,atoA,ATOA-MONOMER
195,&beta;-glucuronidase,uidA,4,BETA-GLUCURONID-MONOMER,uidA,BETA-GLUCURONID-MONOMER
196,&beta;-galactosidase,lacZ,4,BETAGALACTOSID-MONOMER,lacZ,BETAGALACTOSID-MONOMER
197,&beta;-glucoside specific PTS enzyme II,ascF,2,ASCF-MONOMER,ascF,ASCF-MONOMER
198,&beta;-glucoside specific PTS enzyme II - cys24 phosphorylated,bglF,2,BGLF-MONOMER,bglF,BGLF-MONOMER
