(Proteins Complexes Compounds),Object ID,Gene
"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF",YDDO-MONOMER,ddpF
Rac prophage; putative tail fiber assembly protein TfaR,G6696-MONOMER,tfaR
sensory histidine kinase CreC - phosphorylated,PHOSPHO-CREC,
DEOXYRIBOSE-P-ALD-MONOMER,DEOXYRIBOSE-P-ALD-MONOMER,deoC
CP4-57 prophage; ArsC family protein YfjU,G7373-MONOMER,yfjU
alanine racemase 2,ALARACECAT-MONOMER,dadX
Phosphorylated DNA-binding transcriptional dual regulator ArcA,PHOSPHO-ARCA,arcA
muropeptide:H<sup>+</sup> symporter,AMPG-MONOMER,ampG
&alpha;-D-xyloside xylohydrolase,EG11685-MONOMER,yicI
cytochrome <i>bd</i>-I ubiquinol oxidase subunit CydX,MONOMER0-2663,cydX
Npr phosphorylated,MONOMER0-4292,npr
putative DNA-binding transcriptional regulator YidP,EG11711-MONOMER,yidP
DUF1471 domain-containing protein YjfY,G7861-MONOMER,yjfY
50S ribosomal subunit protein L6,EG10869-MONOMER,rplF
HypE-S-carboxamide,MONOMER0-4166,hypE
uncharacterized protein YehK,MONOMER0-2680,yehK
DUF386 domain-containing protein YiaL,EG12280-MONOMER,yiaL
phosphoenolpyruvate carboxylase,PEPCARBOX-MONOMER,ppc
activated 2-ketobutyrate formate-lyase / pyruvate formate-lyase 4,KETOBUTFORMLY-MONOMER,tdcE
translocation and assembly module subunit TamB,G7875-MONOMER,tamB
putative deaminase with metallo-dependent hydrolase domain,G6189-MONOMER,yahJ
aliphatic sulfonate ABC transporter membrane subunit,YCBM-MONOMER,ssuC
oxidized flavorubredoxin,CPLX0-2,
50S ribosomal subunit protein L25,EG10885-MONOMER,rplY
Rac prophage; putative integrase,G6676-MONOMER,intR
putative component of the Rsx system,G7357-MONOMER,yfjF
Tap<SUP>glu-Me</SUP>,TAP-GLUME,
putative metal-dependent hydrolase YcfH,EG12303-MONOMER,ycfH
adenylosuccinate synthetase,ADENYLOSUCCINATE-SYN-MONOMER,purA
protein YedD,EG11659-MONOMER,yedD
sensory histidine kinase TorS  - his850 phosphorylated,PHOSPHO-TORS850,torS
phenylacetaldehyde dehydrogenase,PHENDEHYD-MONOMER,feaB
succinyl-diaminopimelate desuccinylase,MONOMER0-1981,dapE
epoxyqueuosine reductase,G7843-MONOMER,queG
Phosphorylated DNA-binding transcriptional dual regulator NarP,PHOSPHO-NARP,narP
DNA-binding transcriptional repressor FrmR,G6209-MONOMER,frmR
ribosomal-protein-L12-serine acetyltransferase,EG10853-MONOMER,rimL
cellulose synthase periplasmic subunit,EG12259-MONOMER,bcsB
sensory histidine kinase CpxA - phosphorylated,PHOSPHO-CPXA,cpxA
putative ABC transporter membrane subunit YdcV,YDCV-MONOMER,ydcV
DNA-binding transcriptional repressor GntR,PD03585,gntR
twin arginine protein translocation system - TatC protein,EG11479-MONOMER,tatC
phosphoglycerol transferase II,PGLYCEROLTRANSII-MONOMER,opgB
Rac prophage; IS5 transposase and trans-activator,G6693-MONOMER,insH-5
putative DNA-binding transcriptional regulator YkgA,G6170-MONOMER,ykgA
putative ABC transporter ATP-binding protein YadG,YADG-MONOMER,yadG
sensory histidine kinase YbdA - his371 phosphorylated,MONOMER0-4287,ypdA
CP4-57 prophage; inner membrane lipoprotein YfjS,G7371-MONOMER,yfjS
putative LacI-type DNA-binding transcriptional regulator YcjW,G6658-MONOMER,ycjW
DNA-binding transcriptional dual regulator HcaR,G7331-MONOMER,hcaR
2-amino-3-ketobutyrate CoA ligase,AKBLIG-MONOMER,kbl
aconitate hydratase 1,ACONITASE-MONOMER,acnA
transcription-repair coupling factor,EG11619-MONOMER,mfd
conserved inner membrane protein YicG,EG11683-MONOMER,yicG
bacteriolytic entericidin B lipoprotein,MONOMER0-1563,ecnB
cryptic phosphonate ABC transporter membrane subunit,G7822-MONOMER,phnE_2
conserved protein YbdD,MONOMER0-2660,ybdD
ATP-dependent DNA helicase RecQ,EG10833-MONOMER,recQ
DNA-binding transcriptional repressor ArsR,EG12235-MONOMER,arsR
L-ribulose-5-phosphate 3-epimerase UlaE,G7859-MONOMER,ulaE
DNA-binding transcriptional repressor MngR,PD01103,mngR
m<sup>7</sup>GTP pyrophosphatase,EG11438-MONOMER,yceF
protein disulfide oxidoreductase - DsbB<sub>reduced</sub>,DSBBPROT-MONOMER,dsbB
50S ribosomal subunit protein L4,EG10867-MONOMER,rplD
CP4-6 prophage; putative phage integrase,G6152-MONOMER,intF
5'-nucleotidase / UDP-sugar hydrolase,USHA-MONOMER,ushA
DNA-binding transcriptional repressor YiaJ,EG12278-MONOMER,yiaJ
DUF2207 domain-containing protein YciQ,G6636-MONOMER,yciQ
cyclic di-GMP phosphodiesterase PdeF,G7314-MONOMER,pdeF
pyridoxal kinase I,PDXK-MONOMER,pdxK
8-amino-7-oxononanoate synthase,7KAPSYN-MONOMER,bioF
hydroxycarboxylate dehydrogenase B,EG11581-MONOMER,hcxB
conserved protein YahG,G6186-MONOMER,yahG
hydrogenase 4 component F,MONOMER0-143,hyfF
IS1 protein InsB,G7762-MONOMER,insB-1
putative glutamate:GABA antiporter family transporter YcaM,YCAM,ycaM
thiosulfate sulfurtransferase PspE,EG10780-MONOMER,pspE
ADP-heptose&mdash;LPS heptosyltransferase 2,EG12210-MONOMER,waaF
putative Zn<sup>2+</sup> exporter,G6674-MONOMER,ydaN
DNA-binding transcriptional repressor MalI,PD00361,malI
DNA polymerase III subunit &delta;,EG11412-MONOMER,holA
cytochrome <i>c</i> assembly family protein,G7355-MONOMER,ypjD
CP4-6 prophage; IS911A regulator fragment,G6130-MONOMER,insN-1
UDP-glucose 6-dehydrogenase,UGD-MONOMER,ugd
adenylate kinase,ADENYL-KIN-MONOMER,adk
PF03693 family protein YcgN,G6618-MONOMER,ycgN
"putative structural protein, ethanolamine utilization microcompartment",G7287-MONOMER,eutM
frataxin CyaY,EG11653-MONOMER,cyaY
2-dehydropantoate 2-reductase,2-DEHYDROPANTOATE-REDUCT-MONOMER,panE
member of  ATP-dependent helicase superfamily II,EG11548-MONOMER,lhr
membrane-depolarizing toxin TisB,MONOMER0-1922,tisB
MMUM-MONOMER,MMUM-MONOMER,mmuM
purine nucleotidase,G7742-MONOMER,yrfG
ribosome small subunit-dependent GTPase A,G7841-MONOMER,rsgA
polynucleotide phosphorylase,EG10743-MONOMER,pnp
putative AraC-type transcriptional regulator EutR,EG12190-MONOMER,eutR
EG10851-MONOMER,EG10851-MONOMER,rimJ
DNA-binding transcriptional dual regulator CRP,PD00257,crp
"alkyl hydroperoxide reductase, AhpC component",EG11384-MONOMER,ahpC
cellulose biosynthesis protein,EG12257-MONOMER,bcsC
"flagellar system protein, promoterless fragment",G6114-MONOMER,lafU
flavin prenyltransferase,UBIX-MONOMER,ubiX
protein disulfide oxidoreductase - DsbA<sub>reduced</sub>,DISULFOXRED-MONOMER,dsbA
DNA-binding transcriptional activator TdcR,PD03292,tdcR
uncharacterized protein YcgX,G6601-MONOMER,ycgX
"putative structural protein, ethanolamine utilization microcompartment",G7271-MONOMER,eutL
DsbG<SUB>reduced</SUB>,DSBG-MONOMER,dsbG
putative recombination limiting protein,EG11472-MONOMER,rmuC
DUF2517 domain-containing protein YbfA,EG11521-MONOMER,ybfA
"5,10-methylenetetrahydrofolate reductase",METHYLENETHFREDUCT-MONOMER,metF
protein disulfide oxidoreductase - DsbD<sub>reduced</sub>,DSBD-MONOMER,dsbD
uncharacterized protein YkgL,G6166-MONOMER,ykgL
fructoselysine 6-kinase,G7726-MONOMER,frlD
conserved protein YjdM,EG10711-MONOMER,yjdM
protein disulfide isomerase/protein disulfide oxidoreductase - DsbC<sub>reduced</sub>,DSBC-MONOMER,dsbC
putative alanine/glycine:cation symporter family transporter YaaJ,YAAJ-MONOMER,yaaJ
putative porin domain-containing protein EaeH,EG12161-MONOMER,eaeH
DNA-binding transcriptional dual regulator ArgR,PD00194,argR
putative hydrolase,G6654-MONOMER,ycjT
multidrug efflux pump membrane fusion protein EmrA,EG11354-MONOMER,emrA
G6096-MONOMER,G6096-MONOMER,tilS
putative peptidase,G7328-MONOMER,yfhR
TREHALOSEPHOSPHASYN-MONOMER,TREHALOSEPHOSPHASYN-MONOMER,otsB
e14 prophage; putative excisionase,G6585-MONOMER,xisE
<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,ACETYLORNTRANSAM-MONOMER,argD
putative transport protein YfeO,G7251-MONOMER,yfeO
inner membrane protein YhbE,EG11499-MONOMER,yhbE
putative YchG,EG11611-MONOMER,ychG_2
MANNONDEHYDRAT-MONOMER,MANNONDEHYDRAT-MONOMER,uxuA
Type II secretion system protein GspI,G7708-MONOMER,gspI
&beta;-lactam resistance protein,MONOMER0-1561,blr
outer membrane porin A,EG10669-MONOMER,ompA
EG12128-MONOMER,EG12128-MONOMER,lgt
periplasmic protein CpxP,G7816-MONOMER,cpxP
murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC,OPPC-MONOMER,oppC
UPF0149 family protein YgfB,EG11323-MONOMER,ygfB
DNA repair protein RecN,EG10831-MONOMER,recN
hydroxyethylthiazole kinase,THZ-KIN-MONOMER,thiM
DUF1425 domain-containing protein YcfL,G6564-MONOMER,ycfL
16S rRNA m<sup>2</sup>G1516 methyltransferase,EG12233-MONOMER,rsmJ
CPS-53 (KpLE1) prophage; protein YfdT,G7232-MONOMER,yfdT
"macrolide ABC exporter, ATP binding/membrane subunit",MACB,macB
DNA-binding transcriptional activator AppY,PD00967,appY
metalloprotease TldD,G7689-MONOMER,tldD
chromosome partitioning protein MukB,EG10618-MONOMER,mukB
"aldehyde reductase, NADPH-dependent",EG11436-MONOMER,ahr
putative LysR-type transcriptional regulator YeiE,EG12105-MONOMER,yeiE
NADH:quinone oxidoreductase subunit J,NUOJ-MONOMER,nuoJ
CP4-6 prophage; protein YagM,G6150-MONOMER,yagM
DNA recombination protein,EG11296-MONOMER,radA
THIC-MONOMER,THIC-MONOMER,thiC
UROGENIIISYN-MONOMER,UROGENIIISYN-MONOMER,hemD
curli assembly component,G6544-MONOMER,csgF
protein YfdF,G7215-MONOMER,yfdF
RNA/ssDNA 5'&rarr;3' exonuclease,G6634-MONOMER,yciV
branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG,LIVG-MONOMER,livG
UFP0181 family protein YoaH,G6995-MONOMER,yoaH
putative oxidoreductase YfgD,G7312-MONOMER,yfgD
radical SAM family oxidoreductase,G7669-MONOMER,yhcC
tRNA dimethylallyltransferase,EG10595-MONOMER,miaA
6PGLUCONOLACT-MONOMER,6PGLUCONOLACT-MONOMER,pgl
putative cardiolipin transport protein,EG12049-MONOMER,yejM
subunit of NADH dehydrogenase (quinone),NQOR-MONOMER,
conserved protein YbiA,EG11579-MONOMER,ybiA
NADPH-dependent nitroreductase NfsA,EG11261-MONOMER,nfsA
L-fuculose-phosphate aldolase,FUCPALDOL-MONOMER,fucA
hydrogenase 4 component D,MONOMER0-141,hyfD
superoxide dismutase (Fe),SUPEROX-DISMUTFE-MONOMER,sodB
peroxyureidoacrylate/ureidoacrylate amidohydrolase,G6522-MONOMER,rutB
putative endonuclease YhhZ,G7759-MONOMER,yhhZ
recombination-promoting nuclease RpnB,G7197-MONOMER,rpnB
L-aspartate oxidase,L-ASPARTATE-OXID-MONOMER,nadB
phage shock protein C,EG10778-MONOMER,pspC
conserved protein YeaO,G6978-MONOMER,yeaO
DNA damage response nuclease YhbQ,G7649-MONOMER,yhbQ
"deamidated glutathione amidase, N-terminal fragment",EG12208-MONOMER,ybeM_1
elongation factor 4,EG10529-MONOMER,lepA
cytosine/isoguanine deaminase,CYTDEAM-MONOMER,codA
DNA-binding transcriptional dual regulator Lrp,PD00353,lrp
conserved inner membrane protein YohJ,EG12023-MONOMER,yohJ
nitrate reductase Z subunit &beta;,NARY-MONOMER,narY
redox-responsive ATPase YchF,EG11404-MONOMER,ychF
putative hydrolase,EG11241-MONOMER,ycaC
formyltetrahydrofolate deformylase,FORMYLTHFDEFORMYL-MONOMER,purU
CP4-6 prophage; putative GTP-binding protein YkfA,G6128-MONOMER,ykfA
sorbitol-6-phosphate 2-dehydrogenase,SORB6PDEHYDROG-MONOMER,srlD
acylphosphatase,G6502-MONOMER,yccX
UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,murA
protein YfbM,G7179-MONOMER,yfbM
putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain,G6499-MONOMER,yccU
conserved protein YcgL,G6616-MONOMER,ycgL
protease ElaD,G7176-MONOMER,elaD
IMP dehydrogenase,IMP-DEHYDROG-MONOMER,guaB
"putative aldehyde dehydrogenase, ethanolamine utilization protein",G7285-MONOMER,eutE
DUF1266 domain-containing protein YnjI,G6956-MONOMER,ynjI
ribosome-dependent mRNA interferase toxin YhaV,G7629-MONOMER,yhaV
1-acylglycerol-3-phosphate <i>O</i>-acyltransferase,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,plsC
putative HyaA chaperone,EG10472-MONOMER,hyaE
serine/alanine/glycine/cycloserine:H<sup>+</sup>symporter,CYCA-MONOMER,cycA
flagellar hook-filament junction protein 2,EG11545-MONOMER,flgL
"molybdate metabolism regulator, N-terminal fragment",EG11992-MONOMER,molR_1
N-acetylglucosamine specific PTS enzyme IIABC component,NAGE-MONOMER,nagE
putative 3-(3-hydroxyphenyl)propanoate/3-hydroxycinnamate hydroxylase,MHPHYDROXY-MONOMER,mhpA
putative phosphate starvation-inducible protein,EG11209-MONOMER,psiE
iron(III) hydroxamate ABC transporter ATP binding subunit,FHUC-MONOMER,fhuC
ADP-sugar diphosphatase NudE,G7740-MONOMER,nudE
SecB chaperone,SECB,secB
putative fimbrial chaperone ElfD,G6481-MONOMER,elfD
lysophospholipase L2,EG10739-MONOMER,pldB
L-rhamnonate dehydratase,G7160-MONOMER,rhmD
hydrogenase 2 iron-sulfur protein,HYBA-MONOMER,hybA
putative lipoprotein YajG,EG12182-MONOMER,yajG
hexitol phosphatase B,G6932-MONOMER,hxpB
inner membrane protein,G7608-MONOMER,ygjV
DNA-binding transcriptional dual regulator AsnC,PD00250,asnC
RNA-binding protein Hfq,EG10438-MONOMER,hfq
mannitol-specific PTS enzyme IICB component CmtA,CMTA-MONOMER,cmtA
surface composition regulator,EG11381-MONOMER,glgS
putative fimbrial usher protein HtrE,EG11972-MONOMER,htrE
motility protein A,MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN,motA
REP-associated tyrosine transposase,G6112-MONOMER,rayT
conserved inner membrane protein YiaA,EG11186-MONOMER,yiaA
GDP-fucose synthase,FCL-MONOMER,fcl
TYRP-MONOMER,TYRP-MONOMER,tyrP
"RNA polymerase, sigma 54 (sigma N) factor",RPON-MONOMER,rpoN
conserved protein with a nucleotide triphosphate hydrolase domain YbjD,G6459-MONOMER,ybjD
e14 prophage; putative side tail fiber protein fragment,G6599-MONOMER,stfE
putative sugar kinase YegV,G7132-MONOMER,yegV
"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit",HISP-MONOMER,hisP
putative acyltransferase with acyl-CoA N-acyltransferase domain,G7269-MONOMER,ypeA
putative FAD-linked oxidoreductase,G6913-MONOMER,ydiJ
protein YqiK,G7589-MONOMER,yqiK
DNA-binding transcriptional repressor NikR,EG11519-MONOMER,nikR
regulatory protein MokC,EG10373-MONOMER,mokC
ornithine carbamoyltransferase ArgI,CHAINI-MONOMER,argI
methionine&mdash;tRNA ligase,METG-MONOMER,metG
pentapeptide repeat-containing protein YjcF,EG11941-MONOMER,yjcF
protein YmcF,MONOMER0-4393,ymcF
fructoselysine 6-phosphate deglycase,G7723-MONOMER,frlB
protein YgiA,EG11163-MONOMER,ygiA
DNA-binding transcriptional activator UvrY,EG11140-MONOMER,uvrY
isochorismate synthase EntC,ENTC-MONOMER,entC
proline aminopeptidase P II,EG10697-MONOMER,pepP
putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase,RIBAZOLEPHOSPHAT-MONOMER,cobC
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,G6442-MONOMER,ybjI
nucleoid-associated protein RdgC,EG12158-MONOMER,rdgC
G7106-MONOMER,G7106-MONOMER,wzb
sorbitol-specific PTS enzyme IIA component,GUTB-MONOMER,srlB
pantothenate kinase,PANTOTHENATE-KIN-MONOMER,coaA
FAD/NAD(P) binding domain-containing protein YdhS,G6896-MONOMER,ydhS
putative lipoprotein YqhH,G7567-MONOMER,yqhH
"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase",EG11352-MONOMER,waaO
type 1 fimbriae D-mannose specific adhesin,EG10315-MONOMER,fimH
carbamoyl phosphate synthetase subunit &alpha;,CARBPSYN-SMALL,carA
outer membrane protein assembly factor BamA,G6093-MONOMER,bamA
uncharacterized protein YjbE,EG11923-MONOMER,yjbE
conserved inner membrane protein YfcA,EG11144-MONOMER,yfcA
periplasmic trehalase,TREHALAPERI-MONOMER,treA
conserved protein YfaH,EG12881-MONOMER,yfaH
(3<i>R</i>)-3-hydroxypalmitoyl-ACP,R-3-HYDROXYPALMITOYL-ACP,acpP
2-ketobutyrate formate-lyase/pyruvate formate-lyase 4,KETOBUTFORMLY-INACT-MONOMER,tdcE
e14 prophage; putative SAM-dependent methyltransferase,G6582-MONOMER,ymfD
putative ion transporter superfamily protein YbiR,G6421-MONOMER,ybiR
putative DNA-binding transcriptional regulator YeeY,G7088-MONOMER,yeeY
aminopeptidase,G7248-MONOMER,ypdF
GMP synthetase,GMP-SYN-MONOMER,guaA
SoxR [2Fe-2S] reducing system protein RsxG,G6875-MONOMER,rsxG
methyltransferase for 50S ribosomal subunit protein L11,EG11497-MONOMER,prmA
"glycolate dehydrogenase, putative FAD-binding subunit",G7544-MONOMER,glcE
ferric citrate outer membrane transporter,EG10286-MONOMER,fecA
PTS enzyme IIBC component MalX,MALX-MONOMER,malX
biotin synthase,BIOTIN-SYN-MONOMER,bioB
conserved protein YijF,EG11903-MONOMER,yijF
Type II secretion system protein GspG,G7706-MONOMER,gspG
IS2 insertion element repressor InsA,MONOMER0-4250,insC-2
outer membrane protein W,EG11124-MONOMER,ompW
transcription termination factor NusG,EG10667-MONOMER,nusG
macrodomain Ter protein,EG12855-MONOMER,matP
putative hydratase YbhJ,G6401-MONOMER,ybhJ
conserved protein YggI,EG12122-MONOMER,yggI
"putative glycosyltransferase, N-terminal fragment",G7066-MONOMER,yeeL_1
"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",GLYCDEH-MONOMER,gldA
oligopeptide ABC transporter periplasmic binding protein,OPPA-MONOMER,oppA
putative DNA-binding transcriptional regulator,G6853-MONOMER,ynfL
Type II/IV secretion system family protein,G7526-MONOMER,yggR
acrylyl-CoA reductase,EG11315-MONOMER,yhdH
chaperone protein DnaJ,EG10240-MONOMER,dnaJ
putative transport protein YqcE,B2775-MONOMER,yqcE
threonine&mdash;tRNA ligase,THRS-MONOMER,thrS
ATPase component of the HslVU protease,EG11881-MONOMER,hslU
DLP12 prophage; IS5 transposase and trans-activator,MONOMER0-4234,insH-2
flagellar biosynthesis protein FlgN,G6562-MONOMER,flgN
acetylesterase,EG11101-MONOMER,aes
conserved inner membrane protein YbcI,EG12708-MONOMER,ybcI
CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase,G7230-MONOMER,yfdR
PROTOHEME-FERROCHELAT-MONOMER,PROTOHEME-FERROCHELAT-MONOMER,hemH
uncharacterized putative lipoprotein YbfP,G6374-MONOMER,ybfP
L-xylulose kinase,LYXK-MONOMER,lyxK
Zn<sup>2+</sup> ABC transporter ATP binding subunit,ZNUC-MONOMER,znuC
stress-induced protein,G7046-MONOMER,yodD
DUF1656 domain-containing protein AaeX,G7687-MONOMER,aaeX
glutamate synthase subunit GltB,GLUSYNLARGE-MONOMER,gltB
Qin prophage; protein IntK,G6834-MONOMER,ydfW
