bact:ADIA_ECOLI	Biodegradative arginine decarboxylase (ADC) (EC 4.1.1.19)	uniprot:P28629	adiA adi b4117 JW5731
bact:ADIC_ECOLI	Arginine/agmatine antiporter	uniprot:P60061	adiC aniC yjdD yjdE b4115 JW4076
bact:ADPP_ECOLI	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (ASPPase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	uniprot:Q93K97	nudF aspP yqiE yzzG b3034 JW3002
bact:AEEP_ECOLI	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)	uniprot:P51981	ycjG ycjH b1325 JW1318
bact:AGAL_ECOLI	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	uniprot:P06720	melA mel-7 b4119 JW4080
bact:AGP_ECOLI	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)	uniprot:P19926	agp b1002 JW0987
bact:AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	uniprot:P00561	thrA thrA1 thrA2 b0002 JW0001
bact:AK2H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	uniprot:P00562	metL metM b3940 JW3911
bact:AK3_ECOLI	Lysine-sensitive aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase III) (AKIII) (Lysine-sensitive aspartokinase III)	uniprot:P08660	lysC apk b4024 JW3984
bact:ALAA_ECOLI	Glutamate-pyruvate aminotransferase AlaA (EC 2.6.1.2)	uniprot:P0A959	alaA yfbQ b2290 JW2287
bact:ALAC_ECOLI	Glutamate-pyruvate aminotransferase AlaC (EC 2.6.1.2)	uniprot:P77434	alaC yfdZ b2379 JW2376
bact:ALDA_ECOLI	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	uniprot:P25553	aldA ald b1415 JW1412
bact:ALDB_ECOLI	Aldehyde dehydrogenase B (EC 1.2.1.-)	uniprot:P37685	aldB yiaX b3588 JW3561
bact:ALF1_ECOLI	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	uniprot:P0A991	fbaB dhnA b2097 JW5344
bact:ALF_ECOLI	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	uniprot:P0AB71	fbaA fba fda b2925 JW2892
bact:ALKH_ECOLI	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hydroxyglutarate aldolase) (KHG-aldolase); 2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase)]	uniprot:P0A955	eda hga kdgA b1850 JW1839
bact:ALLA_ECOLI	Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase) (Ureidoglycolate hydrolase)	uniprot:P77731	allA glxA2 ybbT b0505 JW0493
bact:ALLB_ECOLI	Allantoinase (EC 3.5.2.5) (Allantoin-utilizing enzyme)	uniprot:P77671	allB glxB3 ybbX b0512 JW0500
bact:ALLC_ECOLI	Allantoate amidohydrolase (AAH) (EC 3.5.3.9) (Allantoate deiminase)	uniprot:P77425	allC glxB7 ylbB b0516 JW0504
bact:ALLD_ECOLI	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	uniprot:P77555	allD glxB8 ylbC b0517 JW0505
bact:ALLP_ECOLI	Putative allantoin permease (Allantoin transport protein)	uniprot:P75712	ybbW glxB2 b0511 JW0499
bact:ALR1_ECOLI	Alanine racemase, biosynthetic (EC 5.1.1.1)	uniprot:P0A6B4	alr b4053 JW4013
bact:ALR2_ECOLI	Alanine racemase, catabolic (EC 5.1.1.1)	uniprot:P29012	dadX alnB dadB b1190 JW1179
bact:ALSA_ECOLI	D-allose import ATP-binding protein AlsA (EC 3.6.3.17)	uniprot:P32721	alsA yjcW b4087 JW4048
bact:ALSB_ECOLI	D-allose-binding periplasmic protein (ALBP)	uniprot:P39265	alsB yjcX b4088 JW4049
bact:ALSC_ECOLI	D-allose transport system permease protein AlsC	uniprot:P32720	alsC yjcV b4086 JW4047
bact:ALSE_ECOLI	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-)	uniprot:P32719	alsE yjcU b4085 JW4046
bact:ALSK_ECOLI	D-allose kinase (Allokinase) (EC 2.7.1.55)	uniprot:P32718	alsK yjcT b4084 JW5724
bact:AMIA_ECOLI	N-acetylmuramoyl-L-alanine amidase AmiA (EC 3.5.1.28)	uniprot:P36548	amiA yfeE b2435 JW2428
bact:AMIB_ECOLI	N-acetylmuramoyl-L-alanine amidase AmiB (EC 3.5.1.28)	uniprot:P26365	amiB yjeD b4169 JW4127
bact:AMIC_ECOLI	N-acetylmuramoyl-L-alanine amidase AmiC (EC 3.5.1.28)	uniprot:P63883	amiC ygdN b2817 JW5449
bact:AMN_ECOLI	AMP nucleosidase (EC 3.2.2.4)	uniprot:P0AE12	amn b1982 JW1963
bact:AMO_ECOLI	Primary amine oxidase (EC 1.4.3.21) (2-phenylethylamine oxidase) (Copper amine oxidase) (Tyramine oxidase)	uniprot:P46883	tynA maoA b1386 JW1381
bact:AMPA_ECOLI	Cytosol aminopeptidase (EC 3.4.11.1) (Aminopeptidase A/I) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	uniprot:P68767	pepA carP xerB b4260 JW4217
bact:AMPD_ECOLI	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD (EC 3.5.1.28) (N-acetylmuramoyl-L-alanine amidase)	uniprot:P13016	ampD b0110 JW0106
bact:AMPG_ECOLI	Protein AmpG	uniprot:P0AE16	ampG b0433 JW0423
bact:AMPN_ECOLI	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)	uniprot:P04825	pepN b0932 JW0915
bact:AMTB_ECOLI	Ammonia channel (Ammonia transporter)	uniprot:P69681	amtB ybaG b0451 JW0441
bact:AMY1_ECOLI	Periplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	uniprot:P25718	malS b3571 JW3543
bact:AMY2_ECOLI	Cytoplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	uniprot:P26612	amyA yedC b1927 JW1912
bact:ANMK_ECOLI	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	uniprot:P77570	anmK ydhH b1640 JW1632
bact:ANSP_ECOLI	L-asparagine permease (L-asparagine transport protein)	uniprot:P77610	ansP yncF b1453 JW5234
bact:APAH_ECOLI	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	uniprot:P05637	apaH b0049 JW0048
bact:APHA_ECOLI	Class B acid phosphatase (CBAP) (EC 3.1.3.2)	uniprot:P0AE22	aphA napA yjbP b4055 JW4015
bact:APPB_ECOLI	Cytochrome bd-II ubiquinol oxidase subunit 2 (EC 1.10.3.10) (Cytochrome bd-II oxidase subunit II)	uniprot:P26458	appB cbdB cyxB b0979 JW0961
bact:APPC_ECOLI	Cytochrome bd-II ubiquinol oxidase subunit 1 (EC 1.10.3.10) (Cytochrome bd-II oxidase subunit I)	uniprot:P26459	appC cbdA cyxA b0978 JW0960
bact:APT_ECOLI	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	uniprot:P69503	apt b0469 JW0458
bact:AQPZ_ECOLI	Aquaporin Z (Bacterial nodulin-like intrinsic protein)	uniprot:P60844	aqpZ bniP b0875 JW0859
bact:ARAA_ECOLI	L-arabinose isomerase (EC 5.3.1.4)	uniprot:P08202	araA b0062 JW0061
bact:ARAB_ECOLI	Ribulokinase (EC 2.7.1.16)	uniprot:P08204	araB b0063 JW0062
bact:ARAD_ECOLI	L-ribulose-5-phosphate 4-epimerase AraD (EC 5.1.3.4) (Phosphoribulose isomerase)	uniprot:P08203	araD b0061 JW0060
bact:ARAE_ECOLI	Arabinose-proton symporter (Arabinose transporter)	uniprot:P0AE24	araE b2841 JW2809
bact:ARAF_ECOLI	L-arabinose-binding periplasmic protein (ABP)	uniprot:P02924	araF b1901 JW1889
bact:ARAG_ECOLI	Arabinose import ATP-binding protein AraG (EC 3.6.3.17)	uniprot:P0AAF3	araG b1900 JW1888
bact:ARAH_ECOLI	L-arabinose transport system permease protein AraH	uniprot:P0AE26	araH b4460 JW1887
bact:ARCC_ECOLI	Carbamate kinase (EC 2.7.2.2)	uniprot:P37306	arcC ybcF b0521 JW0510
bact:ARCD_ECOLI	Putative arginine/ornithine antiporter	uniprot:P0AAE5	ydgI b1605 JW1597
bact:ARCL_ECOLI	Carbamate kinase-like protein YqeA	uniprot:Q46807	yqeA b2874 JW2842
bact:ARCM_ECOLI	Carbamate kinase-like protein YahI	uniprot:P77624	yahI b0323 JW0315
bact:ARGA_ECOLI	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	uniprot:P0A6C5	argA b2818 JW2786
bact:ARGB_ECOLI	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	uniprot:P0A6C8	argB b3959 JW5553
bact:ARGC_ECOLI	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	uniprot:P11446	argC b3958 JW3930
bact:ARGD_ECOLI	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	uniprot:P18335	argD dapC dtu b3359 JW3322
bact:ARGE_ECOLI	Acetylornithine deacetylase (AO) (Acetylornithinase) (EC 3.5.1.16) (N-acetylornithinase) (NAO)	uniprot:P23908	argE b3957 JW3929
bact:ARGO_ECOLI	Arginine exporter protein ArgO	uniprot:P11667	argO yggA b2923 JW2890
bact:ARGT_ECOLI	Lysine/arginine/ornithine-binding periplasmic protein (LAO-binding protein)	uniprot:P09551	argT b2310 JW2307
bact:ARLY_ECOLI	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	uniprot:P11447	argH b3960 JW3932
bact:ARNA_ECOLI	Bifunctional polymyxin resistance protein ArnA (Polymyxin resistance protein PmrI) [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	uniprot:P77398	arnA pmrI yfbG b2255 JW2249
bact:ARNB_ECOLI	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (Polymyxin resistance protein PmrH) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	uniprot:P77690	arnB pmrH yfbE b2253 JW5372
bact:ARNC_ECOLI	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Polymyxin resistance protein PmrF) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	uniprot:P77757	arnC pmrF yfbF b2254 JW2248
bact:ARND_ECOLI	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	uniprot:P76472	arnD pmrJ yfbH b2256 JW2250
bact:ARNE_ECOLI	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE (L-Ara4N-phosphoundecaprenol flippase subunit ArnE) (Undecaprenyl phosphate-aminoarabinose flippase subunit ArnE)	uniprot:Q47377	arnE pmrL yfbW b4544 JW2252
bact:ARNF_ECOLI	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF (L-Ara4N-phosphoundecaprenol flippase subunit ArnF) (Undecaprenyl phosphate-aminoarabinose flippase subunit ArnF)	uniprot:P76474	arnF pmrM yfbJ b2258 JW5373
bact:ARNT_ECOLI	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Polymyxin resistance protein PmrK) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	uniprot:P76473	arnT pmrK yfbI b2257 JW2251
bact:AROA_ECOLI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	uniprot:P0A6D3	aroA b0908 JW0891
bact:AROB_ECOLI	3-dehydroquinate synthase (EC 4.2.3.4)	uniprot:P07639	aroB b3389 JW3352
bact:AROC_ECOLI	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (EPSP phospholyase)	uniprot:P12008	aroC b2329 JW2326
bact:AROD_ECOLI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	uniprot:P05194	aroD b1693 JW1683
bact:AROE_ECOLI	Shikimate dehydrogenase (NADP(+)) (SD) (SDH) (EC 1.1.1.25)	uniprot:P15770	aroE b3281 JW3242
bact:AROF_ECOLI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	uniprot:P00888	aroF b2601 JW2582
bact:AROG_ECOLI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	uniprot:P0AB91	aroG b0754 JW0737
bact:AROH_ECOLI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	uniprot:P00887	aroH b1704 JW1694
bact:AROK_ECOLI	Shikimate kinase 1 (SK 1) (EC 2.7.1.71) (Shikimate kinase I) (SKI)	uniprot:P0A6D7	aroK b3390 JW5947
bact:AROL_ECOLI	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)	uniprot:P0A6E1	aroL b0388 JW0379
bact:AROP_ECOLI	Aromatic amino acid transport protein AroP (General aromatic amino acid permease)	uniprot:P15993	aroP b0112 JW0108
bact:ARSB_ECOLI	Arsenical pump membrane protein (Arsenic efflux pump protein)	uniprot:P0AB93	arsB arsF b3502 JW3469
bact:ARSC_ECOLI	Arsenate reductase (EC 1.20.4.1) (Arsenical pump modifier)	uniprot:P0AB96	arsC arsG b3503 JW3470
bact:ARTI_ECOLI	Putative ABC transporter arginine-binding protein 2	uniprot:P30859	artI b0863 JW0847
bact:ARTJ_ECOLI	ABC transporter arginine-binding protein 1	uniprot:P30860	artJ b0860 JW0844
bact:ARTM_ECOLI	Arginine ABC transporter permease protein ArtM	uniprot:P0AE30	artM b0861 JW0845
bact:ARTP_ECOLI	Arginine transport ATP-binding protein ArtP (EC 3.6.3.-)	uniprot:P0AAF6	artP b0864 JW0848
bact:ARTQ_ECOLI	Arginine ABC transporter permease protein ArtQ	uniprot:P0AE34	artQ b0862 JW0846
bact:ASNA_ECOLI	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	uniprot:P00963	asnA b3744 JW3722
bact:ASNB_ECOLI	Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4)	uniprot:P22106	asnB b0674 JW0660
bact:ASPA_ECOLI	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)	uniprot:P0AC38	aspA b4139 JW4099
bact:ASPG1_ECOLI	L-asparaginase 1 (EC 3.5.1.1) (L-asparaginase I) (L-ASNase I) (L-asparagine amidohydrolase I)	uniprot:P0A962	ansA b1767 JW1756
bact:ASPG2_ECOLI	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	uniprot:P00805	ansB b2957 JW2924
bact:ASSY_ECOLI	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	uniprot:P0A6E4	argG b3172 JW3140
bact:ASTA_ECOLI	Arginine N-succinyltransferase (AST) (EC 2.3.1.109) (AOST)	uniprot:P0AE37	astA ydjV b1747 JW1736
bact:ASTB_ECOLI	N-succinylarginine dihydrolase (EC 3.5.3.23)	uniprot:P76216	astB ydjT b1745 JW1734
bact:ASTC_ECOLI	Succinylornithine transaminase (SOAT) (EC 2.6.1.81) (Carbon starvation protein C) (Succinylornithine aminotransferase)	uniprot:P77581	astC argM cstC ydjW b1748 JW1737
bact:ASTD_ECOLI	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD)	uniprot:P76217	astD ydjU b1746 JW5282
bact:ASTE_ECOLI	Succinylglutamate desuccinylase (EC 3.5.1.96)	uniprot:P76215	astE ydjS b1744 JW1733
bact:ATDA_ECOLI	Spermidine N(1)-acetyltransferase (SAT) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase) (SSAT)	uniprot:P0A951	speG b1584 JW1576
bact:ATMA_ECOLI	Magnesium-transporting ATPase, P-type 1 (EC 3.6.3.2) (Mg(2+) transport ATPase, P-type 1)	uniprot:P0ABB8	mgtA corB mgt b4242 JW4201
bact:ATOA_ECOLI	Acetate CoA-transferase subunit beta (EC 2.8.3.8) (Acetyl-CoA:acetoacetate CoA-transferase subunit beta)	uniprot:P76459	atoA b2222 JW2216
bact:ATOB_ECOLI	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	uniprot:P76461	atoB b2224 JW2218
bact:ATOD_ECOLI	Acetate CoA-transferase subunit alpha (EC 2.8.3.8) (Acetyl-CoA:acetoacetate-CoA transferase subunit alpha)	uniprot:P76458	atoD b2221 JW2215
bact:ATOE_ECOLI	Putative short-chain fatty acid transporter	uniprot:P76460	atoE b2223 JW2217
bact:ATP6_ECOLI	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	uniprot:P0AB98	atpB papD uncB b3738 JW3716
bact:ATPA_ECOLI	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	uniprot:P0ABB0	atpA papA uncA b3734 JW3712
bact:ATPB_ECOLI	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	uniprot:P0ABB4	atpD papB uncD b3732 JW3710
bact:ATPD_ECOLI	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	uniprot:P0ABA4	atpH papE uncH b3735 JW3713
bact:ATPE_ECOLI	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	uniprot:P0A6E6	atpC papG uncC b3731 JW3709
bact:ATPF_ECOLI	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	uniprot:P0ABA0	atpF papF uncF b3736 JW3714
bact:ATPG_ECOLI	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	uniprot:P0ABA6	atpG papC uncG b3733 JW3711
bact:ATPL_ECOLI	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (Dicyclohexylcarbodiimide-binding protein) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	uniprot:P68699	atpE papH uncE b3737 JW3715
bact:ATPZ_ECOLI	ATP synthase protein I	uniprot:P0ABC0	atpI uncI b3739 JW5611
bact:AVTA_ECOLI	Valine--pyruvate aminotransferase (EC 2.6.1.66) (Alanine--valine transaminase) (Transaminase C)	uniprot:P09053	avtA b3572 JW5652
bact:BCCP_ECOLI	Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	uniprot:P0ABD8	accB fabE b3255 JW3223
bact:BCP_ECOLI	Putative peroxiredoxin bcp (EC 1.11.1.15) (Bacterioferritin comigratory protein) (Thioredoxin reductase)	uniprot:P0AE52	bcp b2480 JW2465
