5-carboxymethylaminomethyluridine-[tRNA] synthase,"MTO1 // ""MSS1""",TUPLE // G3O-30709-MONOMER // 1 // TUPLE // G3O-32728-MONOMER // 1,"mitochondrial translation optimization protein 1 // ""mitochondrial splicing system 1"""
5-oxoprolinase (ATP-hydrolysing),OXP1,TUPLE // G3O-31973-MONOMER // 2,5-oxoprolinase (ATP-hydrolysing)
"6,7-dimethyl-8-ribityllumazine synthase monomer",RIB4,TUPLE // YOL143C-MONOMER // 5,"6,7-dimethyl-8-ribityllumazine synthase monomer"
a 3-methyl-2-oxobutanoate dehydrogenase,,,
a branched-chain 2-keto acid dehydrogenase,,,
a citrate lyase,,,
a cysteine desulfurylase,,,
a dinitrogen reductase,,,
a DsrC sulfur carrier protein,,,
a DsrEFH complex,,,
A Eukaryotic Nitrate Reductase,,,
a factor X,,,
a factor Xa,,,
a factor XI,,,
a factor XIa,,,
a ferrihemoglobin,,,
a ferrohemoglobin,,,
a glutamine synthetase,,,
a hemoglobin,,TUPLE // Hemoglobin-beta // 2 // TUPLE // Hemoglobin-alpha // 2,
a <i>holo</i> [citrate lyase acyl-carrier protein],,,
a <i>holo</i>-[carbon monoxide dehydrogenase],,,
a <i>holo</i>-[methylmalonyl-CoA:pyruvate carboxytransferase],,,
a hydrogenase,,,
a kinesin-microtubules complex,,,
a lactoyl-CoA dehydratase,,,
a malonate decarboxylase (thiol form),,,
A modified Ribulose Bisphosphate Carboxylase/Oxygenase,,,
a NifDK protein complex,,,
a NifDK protein containing an M-cluster,,,
a NifEN protein complex,,,
a NifEN protein complex containing an L-cluster,,,
a NifEN protein complex containing an M-cluster,,,
a nitrate reductase,,,
a nitrogenase complex,,,
a nitrogenase reductase,,,
a phosphatase-2A,,,
a phosphorylase a,,,
a phosphorylase b,,,
a phosphorylated branched-chain 2-keto acid dehydrogenase,,,
a phosphorylated isocitrate dehydrogenase,,,
a phosphorylated-3-methyl-2-oxobutanoate dehydrogenase,,,
a plasmin,,,
a procollagen,,,
A Prokaryotic Assimilatory Nitrate Reductase,,,
A Prokaryotic Periplasmic Nitrate Reductase,,,
A Prokaryotic Respiratory Nitrate Reductase,,,
a pyruvate formate-lyase,,,
"a pyruvate,water dikinase",,,
a reduced electron-transferring flavoprotein,,,
a reduced nitrogenase,,,
a reduced nitrogenase-reductase,,,
a ribonucleoside triphosphate reductase,,,
a Ribulose Bisphosphate Carboxylase/Oxygenase,,,
a SoxZY protein,,,
a thyroglobulin,,,
a xanthine dehydrogenase,,,
a xanthine oxidase,,,
a [chaperone-ADP]-[disordered-form scaffold protein] complex,,,
a [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex,,,
a [citrate-lyase],,,
a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex,,,
a [cysteine desulfurase]-(<i>S</i>-sulfanyl)<sub>2</sub>-[disordered-form scaffold protein] complex,,,
a [cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex,,,
a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex,,,
a [glycogenin],,,
a [<i>holo</i>-acyl-carrier-protein] synthase,,,
a [NiFe] hydrogenase,,,
"acetolactate synthase, catalytic subunit // ""acetolactate synthase, regulatory subunit""","ILV6 // ""ILV2""",TUPLE // YCL009C-MONOMER // 1 // TUPLE // MONOMER3O-29 // 1,"acetolactate synthase, regulatory subunit // ""acetolactate synthase, catalytic subunit"""
acetyl-CoA C-acetyltransferase,ERG10,TUPLE // YPL028W-MONOMER // 1,Erg10
"Acetyl-CoA carboxylase, mitochondrial",HFA1,TUPLE // YMR207C-MONOMER // 4,acetyl-coenzyme A carboxylase subunit
adenine phosphoribosyltransferase,APT1,TUPLE // YML022W-MONOMER // 2,adenine phosphoribosyltransferase monomer
Ade13,ADE13,TUPLE // YLR359W-MONOMER // 4,Ade13
Ade12,ADE12,TUPLE // YNL220W-MONOMER // 2,Ade12
Met14,MET14,TUPLE // YKL001C-MONOMER // 2,Met14
alanine--glyoxylate aminotransferase 1,AGX1,TUPLE // MONOMER3O-372 // 2,alanine--glyoxylate aminotransferase subunit
alcohol dehydrogenase I,ADH1,TUPLE // YOL086C-MONOMER // 4,alcohol dehydrogenase 1
alcohol dehydrogenase II,ADH2,TUPLE // YMR303C-MONOMER // 4,alcohol dehydrogenase II
alcohol dehydrogenase III,ADH3,TUPLE // YMR083W-MONOMER // 4,alcohol dehydrogenase III
alcohol dehydrogenase IV,ADH4,TUPLE // YGL256W-MONOMER // 2,alcohol dehydrogenase IV
alcohol dehydrogenase V,ADH5,TUPLE // YBR145W-MONOMER // 2,alcohol dehydrogenase V
allantoicase trimer,DAL2,TUPLE // ALLANTOICASE-TRIMER // 2 // TUPLE // YIR029W-MONOMER // 6,allantoicase monomer
allantoicase trimer,DAL2,TUPLE // YIR029W-MONOMER // 3,allantoicase monomer
an acetyl-CoA carboxylase,,,
an acetyl-<i>holo</i> [citrate lyase acyl-carrier protein],,,
an active (<i>R</i>)-2-hydroxyacyl-CoA dehydratase,,,
an active (<i>R</i>)-2-hydroxyglutaryl-CoA dehydratase,,,
an active (<i>R</i>)-2-hydroxyisocaproyl-CoA dehydratase,,,
an active (<i>R</i>)-phenyllactoyl-CoA dehydratase,,,
an active ribonucleoside triphosphate reductase,,,
an <i>apo</i> [citrate-lyase acyl-carrier protein],,,
an <i>apo</i>-[carbon monoxide dehydrogenase],,,
an <i>apo</i>-[methylmalonyl-CoA:pyruvate carboxytransferase],,,
an inactive (<i>R</i>)-2-hydroxyacyl-CoA dehydratase,,,
an inactive (<i>R</i>)-2-hydroxyglutaryl-CoA dehydratase,,,
an inactive (<i>R</i>)-2-hydroxyisocaproyl-CoA dehydratase,,,
an inactive (<i>R</i>)-phenyllactoyl-CoA dehydratase,,,
an inactive lactoyl-CoA dehydratase,,,
an inactive ribonucleoside triphosphate reductase,,,
an isocitrate dehydrogenase,,,
an oxidized nitrogenase,,,
an oxidized nitrogenase-reductase,,,
an RNA polymerase,,,
an <i>S</i>-sulfanyl-[cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex,,,
an <i>S</i>-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex,,,
an [acetyl-CoA carboxylase] phosphate,,,
anthranilate synthase,"TRP3 // ""TRP2""",TUPLE // YKL211C-MONOMER // 1 // TUPLE // MONOMER3O-30 // 1,"TRyPtophan requiring // ""TRyPtophan requiring"""
arginase subunit,CAR1,TUPLE // YPL111W-MONOMER // 3,arginase subunit
aromatic amino acid/aminoadipate aminotransferase,ARO8,TUPLE // YGL202W-MONOMER // 2,aromatic amino acid/aminoadipate aminotransferase monomer
aspartate aminotransferase,AAT2,TUPLE // YLR027C-MONOMER // 2,aspartate aminotransferase
assimilatory sulfite reductase,"MET5 // ""MET10""",TUPLE // MONOMER3O-22 // 2 // TUPLE // MONOMER3O-21 // 2,"sulfite reductase [NADPH] &beta; subunit // ""assimilatory sulfite reductase [NADPH] &alpha; subunit"""
bifunctional purine biosynthesis protein ADE16,ADE16,TUPLE // YLR028C-MONOMER // 2,ADE16 monomer
bifunctional purine biosynthesis protein ADE17,ADE17,TUPLE // YMR120C-MONOMER // 2,ADE17 monomer
"bifunctional purine biosynthetic protein ADE5,7","ADE5,7",TUPLE // YGL234W-MONOMER // 2,ADEnine requiring
acetyl-CoA carboxylase subunit,ACC1,TUPLE // MONOMER3O-7 // 4,acetyl-CoA carboxylase subunit
branched-chain amino acid aminotransferase,BAT1,TUPLE // YHR208W-MONOMER // 1,branched-chain amino acid aminotransferase subunit
carbamoyl phosphate synthetase,"CPA2 // ""CPA1""",TUPLE // YJR109C-MONOMER // 1 // TUPLE // YOR303W-MONOMER // 1,"carbamoyl phosphate synthetase // ""carbamoyl phosphate synthetase"""
ceramide synthase,"LAC1 // ""LAG1"" // ""LIP1""",TUPLE // MONOMER3O-373 // 1 // TUPLE // MONOMER3O-370 // 1 // TUPLE // MONOMER3O-702 // 1,"ceramide synthase LAC1 component // ""ceramide synthase LAG1 component"" // ""ceramide synthase LIP1 component"""
"citramalate lyase, active",,,
"citramalate lyase, inactive",,,
COPI coatomer complex,"ARF1 // ""SEC28"" // ""SEC27"" // ""COP1"" // ""RET3"" // ""RET2"" // ""SEC21"" // ""SEC26""",TUPLE // G3O-29577-MONOMER // 1 // TUPLE // CPLX3O-10539 // 1 // TUPLE // G3O-31341-MONOMER // 1 // TUPLE // G3O-30632-MONOMER // 1 // TUPLE // G3O-29542-MONOMER // 1 // TUPLE // CPLX3O-10540 // 1 // TUPLE // G3O-33929-MONOMER // 1 // TUPLE // G3O-30497-MONOMER // 1 // TUPLE // G3O-33277-MONOMER // 1 // TUPLE // G3O-29813-MONOMER // 1,"ADP-Ribosylation Factor // ""COPI coatomer complex &epsilon; subunit"" // ""COPI coatomer complex &beta;' subunit"" // ""COPI coatomer complex &alpha; subunit"" // ""COPI coatomer complex &zeta; subunit"" // ""COPI coatomer complex &delta; subunit"" // ""COPI coatomer complex &gamma; subunit"" // ""COPI coatomer complex &beta; subunit"""
COPIb,"COP1 // ""SEC27"" // ""SEC28""",TUPLE // G3O-29542-MONOMER // 1 // TUPLE // G3O-30632-MONOMER // 1 // TUPLE // G3O-31341-MONOMER // 1,"COPI coatomer complex &alpha; subunit // ""COPI coatomer complex &beta;' subunit"" // ""COPI coatomer complex &epsilon; subunit"""
COPIf,"SEC26 // ""SEC21"" // ""RET2"" // ""RET3""",TUPLE // G3O-29813-MONOMER // 1 // TUPLE // G3O-33277-MONOMER // 1 // TUPLE // G3O-30497-MONOMER // 1 // TUPLE // G3O-33929-MONOMER // 1,"COPI coatomer complex &beta; subunit // ""COPI coatomer complex &gamma; subunit"" // ""COPI coatomer complex &delta; subunit"" // ""COPI coatomer complex &zeta; subunit"""
"ribonucleoside-diphosphate reductase, large subunit R3 // ""ribonucleoside-diphosphate reductase, large subunit R1""","RNR1 // ""RNR3""",TUPLE // YER070W-MONOMER // 1 // TUPLE // YIL066C-MONOMER // 1,"ribonucleoside-diphosphate reductase, large subunit R1 // ""ribonucleoside-diphosphate reductase, large subunit R3"""
,,TUPLE // MONOMER3O-32371 // 1,
,DUG1,TUPLE // MONOMER3O-4 // 2,MONOMER3O-4
Cys4,CYS4,TUPLE // YGR155W-MONOMER // 4,Cys4
Cys3,CYS3,TUPLE // YAL012W-MONOMER // 4,Cys3
cysteine-<em>S</em>-conjugate &beta;-lyase,IRC7,TUPLE // YFR055W-MONOMER // 4,cysteine-<em>S</em>-conjugate &beta;-lyase monomer
cytidine deaminase,CDD1,TUPLE // YLR245C-MONOMER // 2,cytidine deaminase monomer
cytochrome c oxidase,"COX1 // ""COX2"" // ""COX3"" // ""COX4"" // ""COX5A"" // ""COX6"" // ""COX7"" // ""COX8"" // ""COX9"" // ""COX12"" // ""COX13""",TUPLE // Q0045-MONOMER // 1 // TUPLE // Q0250-MONOMER // 1 // TUPLE // Q0275-MONOMER // 1 // TUPLE // YGL187C-MONOMER // 1 // TUPLE // YNL052W-MONOMER // 1 // TUPLE // YHR051W-MONOMER // 1 // TUPLE // YMR256C-MONOMER // 1 // TUPLE // YLR395C-MONOMER // 1 // TUPLE // YDL067C-MONOMER // 1 // TUPLE // YLR038C-MONOMER // 1 // TUPLE // YGL191W-MONOMER // 1,"cytochrome c oxidase subunit I // ""cytochrome c oxidase subunit II"" // ""cytochrome c oxidase subunit III"" // ""cytochrome c oxidase subunit IV"" // ""cytochrome c oxidase chain Va"" // ""cytochrome c oxidase subunit VI"" // ""cytochrome c oxidase subunit VII"" // ""cytochrome c oxidase chain VIII"" // ""cytochrome c oxidase subunit VIIa"" // ""cytochrome c oxidase subunit VIb"" // ""cytochrome c oxidase subunit VIa"""
cytoplasmic arsenate reductase subunit,ARR2,TUPLE // G3O-34320-MONOMER // 2,cytoplasmic arsenate reductase subunit
cytosolic malate dehydrogenase subunit,MDH2,TUPLE // YOL126C-MONOMER // 2,cytosolic malate dehydrogenase subunit
cytosolic trehalase 1,NTH1,TUPLE // YDR001C-MONOMER // 2,neutral trehalase subunit
"D-arabinose dehydrogenase, heavy chain // ""D-arabinose dehydrogenase, light chain""",ARA1,TUPLE // MONOMER3O-32367 // 1 // TUPLE // MONOMER3O-32366 // 1,"D-arabinose dehydrogenase, light chain // ""D-arabinose dehydrogenase, heavy chain"""
dehydrodolichyl diphosphate syntase complex,"SRT1 // ""NUS1""",TUPLE // YMR101C-MONOMER // 1 // TUPLE // G3O-29578-MONOMER // 1,"dehydrodolichyl diphosphate syntase SRT1 subunit // ""dehydrodolichyl diphosphate syntase NUS1 subunit"""
dehydrodolichyl diphosphate synthase complex,"RER2 // ""NUS1""",TUPLE // YBR002C-MONOMER // 1 // TUPLE // G3O-29578-MONOMER // 1,"dehydrodolichyl diphosphate syntase RER2 subunit // ""dehydrodolichyl diphosphate syntase NUS1 subunit"""
&Delta;3-&Delta;2 -enoyl-CoA isomerase,ECI1,TUPLE // YLR284C-MONOMER // 6,"&Delta;3,&Delta;2-enoyl-CoA isomerase"
dihydrolipoyl transsuccinylase,KGD2,TUPLE // YDR148C-MONOMER // 1,dihydrolipoyl transsuccinylase subunit
"dihydroorotate dehydrogenase, type 1A",URA1,TUPLE // YKL216W-MONOMER // 2,dihydroorotate dehydrogenase subunit
diphthamide biosynthesis protein RRT2,DPH7,TUPLE // MONOMER-18824 // 1,methylated diphthine methylhydrolase
dolichyl-phosphate-mannose&mdash;protein mannosyltransferase,"PMT1 // ""PMT2""",TUPLE // YDL095W-MONOMER // 1 // TUPLE // YAL023C-MONOMER // 1,"dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase // ""dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase"""
|Ent-B|,,,
farnesyl diphosphate synthase,ERG20,TUPLE // MONOMER-655 // 2,Erg20
fatty acid synthase,"FAS1 // ""FAS2""",TUPLE // YKL182W-MONOMER // 6 // TUPLE // YPL231W-MONOMER // 6,"fatty acid synthase, &beta; subunit // ""fatty acid synthase, &alpha; subunit"""
|Flavorubredoxin|,,,
4-aminobutyrate aminotransferase,UGA1,TUPLE // YGR019W-MONOMER // 4,4-aminobutyrate aminotransferase
"glucan 1,4-&alpha;-glucosidase",SGA1,TUPLE // YIL099W-MONOMER // 2,Sporulation-specific GlycoAmylase
glucosamine-6-phosphate <i>N</i>-acetyltransferase 1,GNA1,TUPLE // YFL017C-MONOMER // 2,glucosamine-6-phosphate <i>N</i>-acetyltransferase subunit
phosphoglucoisomerase subunit,PGI1,TUPLE // YBR196C-MONOMER // 2,phosphoglucoisomerase subunit
NADP-specific glutamate dehydrogenase 1 subunit,GDH1,TUPLE // YOR375C-MONOMER // 6,NADP-specific glutamate dehydrogenase 1 subunit
NADP-dependent glutamate dehydrogenase 2 subunit,GDH3,TUPLE // YAL062W-MONOMER // 6,NADP-dependent glutamate dehydrogenase 2 subunit
glutamate synthase (NADH),GLT1,TUPLE // YDL171C-MONOMER // 3,glutamate synthase (NADH) subunit
"glutamine synthetase, type II",GLN1,TUPLE // YPR035W-MONOMER // 8,glutamine synthetase subunit
glutathione hydrolase,"DUG2 // ""DUG3""",TUPLE // CPLX-8921 // 2 // TUPLE // G3O-29201-MONOMER // 4 // TUPLE // G3O-33202-MONOMER // 2,"Deficient in Utilization of Glutathione // ""glutamine amidotransferase II"""
glycerol 3-phosphate dehydrogenase,GPD1,TUPLE // YDL022W-MONOMER // 2,glycerol 3-phosphate dehydrogenase monomer
glycine cleavage complex,"LPD1 // ""GCV2"" // ""GCV1"" // ""GCV3""",TUPLE // YFL018C-MONOMER // 1 // TUPLE // YMR189W-MONOMER // 2 // TUPLE // YDR019C-MONOMER // 1 // TUPLE // G3O-28852-MONOMER // 1,"dihydrolipoamide dehydrogenase // ""glycine decarboxylase complex P subunit"" // ""GCV1"" // ""GlyCine cleaVage"""
glycogen phosphorylase,GPH1,TUPLE // YPR160W-MONOMER // 2,glycogen phosphorylase
GMP synthase,GUA1,TUPLE // YMR217W-MONOMER // 2,GMP synthase monomer
hexaprenyl diphosphate synthase subunit,COQ1,TUPLE // YBR003W-MONOMER // 2,hexaprenyl diphosphate synthase subunit
HMP/HMP-P kinase and thiaminase II,THI20,TUPLE // CPLX3O-80 // 2 // TUPLE // MONOMER3O-77 // 4,MONOMER3O-77
HMP/HMP-P kinase and thiaminase II,THI20,TUPLE // MONOMER3O-77 // 2,MONOMER3O-77
Met2,MET2,TUPLE // YNL277W-MONOMER // 2,Met2
HmgS,ERG13,TUPLE // YML126C-MONOMER // 2,HmgS
,THI21,TUPLE // MONOMER3O-81 // 2,MONOMER3O-81
hypoxanthine guanine phosphoribosyltransferase,HPT1,TUPLE // YDR399W-MONOMER // 2,hypoxanthine guanine phosphoribosyltransferase monomer
IMP-specific 5'-nucleotidase,ISN1,TUPLE // MONOMER3O-10 // 4,IMP-specific 5'-nucleotidase monomer
inositol phosphorylceramide mannosyltransferase,"SUR1 // ""CSH1""",TUPLE // MONOMER3O-703 // 1 // TUPLE // G3O-29111-MONOMER // 1,"inositol phosphorylceramide mannosyltransferase catalytic subunit // ""inositol phosphorylceramide mannosyltransferase regulatory subunit"""
inositol phosphorylceramide mannosyltransferase,"SUR1 // ""CSG2""",TUPLE // MONOMER3O-703 // 1 // TUPLE // MONOMER3O-695 // 1,"inositol phosphorylceramide mannosyltransferase catalytic subunit // ""inositol phosphorylceramide mannosyltransferase regulatory subunit"""
inositol phosphorylceramide synthase,"AUR1 // ""KEI1""",TUPLE // MONOMER3O-630 // 1 // TUPLE // G3O-29917-MONOMER // 1,"inositol phosphorylceramide synthase catalytic subunit // ""inositol phosphorylceramide synthase regulatory subunit"""
isoamyl acetate-hydrolyzing esterase,IAH1,TUPLE // YOR126C-MONOMER // 2,isoamyl acetate-hydrolyzing esterase monomer
isocitrate dehydrogenase [NAD],"IDH2 // ""IDH1""",TUPLE // YOR136W-MONOMER // 2 // TUPLE // YNL037C-MONOMER // 1,"isocitrate dehydrogenase [NAD] &beta; subunit // ""isocitrate dehydrogenase [NAD] &alpha; subunit"""
ISU1 [Fe-S] cluster scaffold protein,ISU1,TUPLE // G3O-34034-MONOMER // 2,ISU1 [Fe-S] cluster scaffold protein monomer
ISU2 [Fe-s} cluster scaffold protein,ISU2,TUPLE // G3O-33724-MONOMER // 2,ISU2 [Fe-s} cluster scaffold protein monomer
keto-isocaproate decarboxylase subunit,THI3,TUPLE // MONOMER3O-409 // 1,keto-isocaproate decarboxylase subunit
L-lactate dehydrogenase subunit,CYB2,TUPLE // YML054C-MONOMER // 4,L-lactate dehydrogenase subunit
L-myo-inositol-1-phosphate synthase subunit,INO1,TUPLE // YJL153C-MONOMER // 4,L-myo-inositol-1-phosphate synthase subunit
low-specificity L-threonine aldolase,GLY1,TUPLE // YEL046C-MONOMER // 4,L-threonine aldolase subunit
M20A metallopeptidase,DUG2,TUPLE // G3O-29201-MONOMER // 2,Deficient in Utilization of Glutathione
malate synthase 1,MLS1,TUPLE // YNL117W-MONOMER // 3,malate synthase
malate synthase 2,DAL7,TUPLE // YIR031C-MONOMER // 3,malate synthase 2
"mannosyl-oligosaccharide &alpha;-1,3-glucosidase","ROT2 // ""GTB1""",TUPLE // YBR229C-MONOMER // 1 // TUPLE // G3O-29801-MONOMER // 1,"&alpha;-glucosidase II &alpha; subunit // ""&alpha;-glucosidase II &beta; subunit"""
methionine adenosyltransferase 1,SAM1,TUPLE // YLR180W-MONOMER // 4,Sam1
methionine adenosyltransferase 2,SAM2,TUPLE // MONOMER3O-1014 // 4,Sam2
MethylthioRibose-1-phosphate Isomerase,MRI1,TUPLE // G3O-34257-MONOMER // 2,MethylthioRibose-1-phosphate Isomerase
Erg19,MVD1,TUPLE // MONOMER-653 // 2,"Erg19 // ""mevalonate pyrophosphate decarboxylase"""
Erg12,ERG12,TUPLE // YMR208W-MONOMER // 2,Erg12
minor succinate dehydrogenase (ubiquinone),"YJL045W // ""SDH2"" // ""SDH3"" // ""SDH4""",TUPLE // CPLX3O-35 // 1 // TUPLE // YJL045W-MONOMER // 1 // TUPLE // YLL041C-MONOMER // 1 // TUPLE // CPLX3O-34 // 1 // TUPLE // YKL141W-MONOMER // 1 // TUPLE // YDR178W-MONOMER // 1,"minor succinate dehydrogenase flavoprotein // ""succinate dehydrogenase iron-sulfur protein subunit"" // ""succinate dehydrogenase cytochrome b"" // ""succinate dehydrogenase membrane anchor subunit"""
minor succinate dehydrogenase catalytic dimer,"SDH2 // ""YJL045W""",TUPLE // YLL041C-MONOMER // 1 // TUPLE // YJL045W-MONOMER // 1,"succinate dehydrogenase iron-sulfur protein subunit // ""minor succinate dehydrogenase flavoprotein"""
mitochondrial malate dehydrogenase subunit,MDH1,TUPLE // YKL085W-MONOMER // 2,mitochondrial malate dehydrogenase subunit
mitochondrial-processing peptidase,"MAS1 // ""MAS2""",TUPLE // G3O-32293-MONOMER // 1 // TUPLE // G3O-31085-MONOMER // 1,"mitochondrial-processing peptidase &beta; subunit // ""mitochondrial-processing peptidase &alpha; subunit"""
mRNA capping enzyme,"CEG1 // ""CET1""",TUPLE // G3O-30626-MONOMER // 1 // TUPLE // G3O-34116-MONOMER // 1,"mRNA capping enzyme &alpha; subunit // ""mRNA capping enzyme &beta; subunit"""
<em>N</em>-acetylglucosaminyldiphosphodolichol <em>N</em>-acetylglucosaminyltransferase,"ALG14 // ""ALG13""",TUPLE // MONOMER3O-23 // 1 // TUPLE // MONOMER3O-20 // 1,"UDP-N-acetylglucosamine transferase Alg14p subunit // ""UDP-N-acetylglucosamine transferase Alg13p subunit"""
N-terminal amino acyl <i>N</i><sup>&alpha;</sup>-acetyltransferase NatA,"NAT1 // ""ARD1"" // ""NAT5""",TUPLE // YDL040C-MONOMER // 1 // TUPLE // YHR013C-MONOMER // 1 // TUPLE // G3O-33744-MONOMER // 1,"N-terminal acetyltransferase // ""peptide alpha-N-acetyltransferase"" // ""N-terminal AcetylTransferase"""
N-terminal methionine <i>N</i><sup>&alpha;</sup>-acetyltransferase NatB,"NAT3 // ""MDM20""",TUPLE // G3O-34267-MONOMER // 1 // TUPLE // G3O-33480-MONOMER // 1,"N-terminal AcetylTransferase // ""Mitochondrial Distribution and Morphology"""
N-terminal methionine <i>N</i><sup>&alpha;</sup>-acetyltransferase NatC,"MAK3 // ""MAK10"" // ""MAK31""",TUPLE // YPR051W-MONOMER // 1 // TUPLE // G3O-30171-MONOMER // 1 // TUPLE // G3O-29336-MONOMER // 1,"N-acetyltransferase // ""MAintenance of Killer"" // ""MAintenance of Killer"""
NAD(+)/NADH kinase,UTR1,TUPLE // G3O-31684-MONOMER // 6,NAD(+)/NADH kinase subunit
NAD(+)/NADH kinase,YEF1,TUPLE // G3O-30162-MONOMER // 8,YEF1 NAD(+)/NADH kinase subunit
"NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase subunit",MTD1,TUPLE // YKR080W-MONOMER // 2,"NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase subunit"
NADH:ubiquinone oxidoreductase (internal),NDI1,TUPLE // YML120C-MONOMER // 2,NADH:ubiquinone oxidoreductase (internal)
NADP-dependent isocitrate dehydrogenase,IDP2,TUPLE // YLR174W-MONOMER // 2,NADP-dependent isocitrate dehydrogenase
nicotinamidase,PNC1,TUPLE // YGL037C-MONOMER // 4,nicotinamidase monomer
nicotinate nucleotide adenylyltransferase,NMA1,TUPLE // YLR328W-MONOMER // 4,nicotinate nucleotide adenylyltransferase subunit
non-specific polyamine oxidase,FMS1,TUPLE // YMR020W-MONOMER // 2,polyamine oxidase subunit
|Nr-I|,,,
|Nr-II|,,,
nucleoside diphosphate kinase,YNK1,TUPLE // YKL067W-MONOMER // 6,nucleoside diphosphate kinase monomer
Met17,MET17,TUPLE // YLR303W-MONOMER // 4,Met17
oligosaccharyl transferase complex,"OST1 // ""OST2"" // ""OST3"" // ""OST4"" // ""OST5"" // ""OST6"" // ""SWP1"" // ""WBP1"" // ""STT3""",TUPLE // YJL002C-MONOMER // 1 // TUPLE // YOR103C-MONOMER // 1 // TUPLE // YOR085W-MONOMER // 1 // TUPLE // YDL232W-MONOMER // 1 // TUPLE // YGL226C-MONOMER // 1 // TUPLE // YML019W-MONOMER // 1 // TUPLE // YMR149W-MONOMER // 1 // TUPLE // YEL002C-MONOMER // 1 // TUPLE // YGL022W-MONOMER // 1,"oligosaccharyl transferase complex &alpha; subunit // ""oligosaccharyl transferase complex &epsilon; subunit"" // ""oligosaccharyl transferase complex &gamma; subunit"" // ""oligosaccharyl transferase complex OST4 subunit"" // ""oligosaccharyl transferase complex &zeta; subunit"" // ""oligosaccharyl transferase complex OST6 subunit"" // ""oligosaccharyl transferase complex &delta; subunit"" // ""oligosaccharyl transferase complex &beta; subunit"" // ""oligosaccharyl transferase complex STT3 subunit"""
peroxisomal multifunctional enzyme type 2,FOX2,TUPLE // YKR009C-MONOMER // 2,peroxisomal multifunctional enzyme type 2
peroxisome malate dehydrogenase subunit,MDH3,TUPLE // YDL078C-MONOMER // 2,peroxisome malate dehydrogenase subunit
"phosphatidylinositol-3,5-bisphosphate regulatory complex","FAB1 // ""FIG4"" // ""VAC7"" // ""VAC14""",TUPLE // YFR019W-MONOMER // 1 // TUPLE // MONOMER3O-86 // 1 // TUPLE // G3O-33086-MONOMER // 1 // TUPLE // G3O-32452-MONOMER // 1,"1-phosphatidylinositol-3-phosphate 5-kinase // ""phosphatidylinositol 3,5-bisphosphate 5-phosphatase"" // ""vacuolar segregation protein 7"" // ""vacuole morphology and inheritance protein 14"""
Met16,MET16,TUPLE // YPR167C-MONOMER // 2,Met16
